文件管理
awk       是一个强大的文本分析工具
cat       把档案串连接后传到基本输出
chattr    用于改变文件属性
chgrp     变更文件或目录的所属群组
chmod     控制文件如何被他人所调用
chown     将指定文件的拥有者改为指定的用户或组
cmp       比较两个文件是否有差异
cp        用于复制文件或目录
cut       提取某行或某个域的字节、字符
diff      比较文件的差异
diffstat  根据diff的比较结果，显示统计数字
file      辨识文件类型
find      在指定目录下查找文件，查硬盘
indent    用于调整C原始代码文件的格式
ln        为某一个文件在另外一个位置建立一个同步的链接
less      随意浏览文件
locate    查找符合条件的文档，查数据库
lsattr    显示文件属性
mktemp    建立暂存文件
more      以一页一页的形式显示
mv        为文件或目录改名、或将文件或目录移入其它位置
od        读取所给予的文件的内容，并将其内容以八进制字码呈现出来
paste     以行或列的方式合并文件
patch     用于修补文件
rm        删除一个文件或者目录
slocate   secure locate
split     将一个文件分割成数个
tee       读取标准输入的数据，并将其内容输出成文件
tmpwatch  用于删除暂存文件
touch     用于修改文件或者目录的时间属性，包括存取时间和更改时间。若文件不存在，系统会建立一个新的文件
umask     指定在建立文件时预设的权限掩码，如果是022，则新建文件权限为755
which     会在环境变量$PATH设置的目录里查找符合条件的文件
whereis   用于查找二进制文件、源代码文件和man手册页

